pizza,sos,skl1,skl2,skl3,skl4,skl5,skl6,skl7,skl8
margharita,pomidorowy,ser do margharity,,,,,,,
salami,pomidorowy,salami,,,,,,,
studencka,pomidorowy,salami,pieczarki,,,,,,
tradycyjna,pomidorowy,szynka,pieczarki,,,,,,
prezesa,pomidorowy,szynka,cebula,kukurydza,pieczarki,,,,
smakosza,czosnkowy,salami,szpinak,feta,,,,,
hawajski kurczak,pomidorowy,kurczak,kukurydza,ananas,,,,,
³agodny kurczak,pomidorowy,kurczak,pieczarki,kukurydza,,,,,
po³udniowa,pomidorowy,salami,rukola,pomidor,,,,,
diabelski kurczak,pomidorowy,kurczak,jalapeno,,,,,,
frytas,czosnkowy,boczek,frytki,cebula pra¿ona,,,,,
pizza szeryfa,pomidorowy,salami,boczek,pieczarki,cebula,,,,
paligêba,pomidorowy,salami,oliwki,jalapeno,chili,,,,
firmowa,pomidorowy,salami,kurczak,kukurydza,papryka,,,,
witaminka,pomidorowy,feta,broku³,papryka,kukurydza,,,,
swojska,czosnkowy,boczek,salami,czosnek,cebula,,,,
teksañskie bbq,bbq,kurczak,fasola,kukurydza,cebula,,,,
kolorowa,pomidorowy,broku³,kukurydza,szpinak,pomidor,cebula,,,
wiejska,pomidorowy,boczek,kie³basa,ogórek,cebula,,,,
œwidnicka,pomidorowy,boczek,kurczak,cebula pra¿ona,ser wêdzony,,,,
sweet chilli,pomidorowy,boczek,chili,papryka,ananas,sos sweet chhili,,,
kreweta,pomidorowy,krewetki,czosnek,rukola,,,,,
kr¹¿ownik,bbq,kurczak,boczek,ogórek,kr¹¿ki cebulowe,,,,
rambo,pomidorowy,salami,szynka,cebula,czosnek,,,,
cukenberg,pomidorowy,salami,cukinia,czosnek,camembert,,,,
petarda,pomidorowy,salami,oliwki,czosnek,habanero,,,,
prop1,pomidorowy,kurczak,kukurydza,papryka,broku³,,,,
prop2,pomidorowy,salami,jalapeno,oliwki,,,,,
prop3,pomidorowy,salami,pieczarki,feta,,,,,
prop4,pomidorowy,salami,pieczarki,pomidor suszony,,,,,
prop5,pomidorowy,szynka,jalapeno,ananas,,,,,
prop6,pomidorowy,salami,boczek,szynka,cebula,,,,
prop7,pomidorowy,gruszka,s³onecznik,rukola,,,,,
prop8,pomidorowy,szynka parmeñska,rukola,parmezan,,,,,
prop9,pomidorowy,salami,ananas,,,,,,
prop10,pomidorowy,ser wêdzony,boczek,s³onecznik,¿urawina,,,,
prop11,pomidorowy,ser wêdzony,boczek,s³onecznik,,,,,
prop12,pomidorowy,oscypek,boczek,s³onecznik,¿urawina,,,,
prop13,pomidorowy,oscypek,boczek,s³onecznik,,,,,
prop14,pomidorowy,szynka,pieczarki,cebula,oliwki,,,,
prop15,pomidorowy,salami,pieczarki,jakapeno,kr¹¿ki cebulowe,,,,
prop16,pomidorowy,salami,pieczarki,szparagi,rukola,pomidor suszony,,,
prop17,pomidorowy,salami,oliwki,,,,,,
prop18,pomidorowy,salami,feta,dynia,pomidor suszony,,,,
prop19,pomidorowy,pieczarki,szpinak,oliwki,pomidor suszony,,,,
prop20,pomidorowy,cebula,tuñczyk,kukurydza,oliwki,,,,
prop21,pomidorowy,salami,lazur,camembert,feta,,,,
prop22,pomidorowy,szparagi,broku³,szynka parmeñska,,,,,
prop23,pomidorowy,fasola,kukurydza,kie³basa chorizo,jalapeno,,,,
prop24,pomidorowy,fasola,kukurydza,kie³basa chorizo,pomidor,,,,
prop25,pomidorowy,dynia,feta,kurczak,,,,,
prop26,pomidorowy,farsz ruski,boczek w kostce,cebulka duszona,,,,,
prop27,pomidorowy,boczek,camembert,dynia,,,,,
prop28,pomidorowy,pieczone ziemniaczki,kie³basa,boczek w kostce,,,,,
prop29,pomidorowy,camembert,laruz,feta,,,,,
