pizza,sos,skl1,skl2,skl3,skl4,skl5,skl6,skl7,skl8
margharita,pomidorowy,ser do margharity,,,,,,,
salami,pomidorowy,salami,,,,,,,
studencka,pomidorowy,salami,pieczarki,,,,,,
tradycyjna,pomidorowy,szynka,pieczarki,,,,,,
prezesa,pomidorowy,szynka,cebula,kukurydza,pieczarki,,,,
smakosza,czosnkowy,salami,szpinak,feta,,,,,
hawajski kurczak,pomidorowy,kurczak,kukurydza,ananas,,,,,
łagodny kurczak,pomidorowy,kurczak,pieczarki,kukurydza,,,,,
południowa,pomidorowy,salami,rukola,pomidor,,,,,
diabelski kurczak,pomidorowy,kurczak,jalapeno,,,,,,
frytas,czosnkowy,boczek,frytki,cebula prażona,,,,,
pizza szeryfa,pomidorowy,salami,boczek,pieczarki,cebula,,,,
paligęba,pomidorowy,salami,oliwki,jalapeno,chili,,,,
firmowa,pomidorowy,salami,kurczak,kukurydza,papryka,,,,
witaminka,pomidorowy,feta,brokuł,papryka,kukurydza,,,,
swojska,czosnkowy,boczek,salami,czosnek,cebula,,,,
teksańskie bbq,bbq,kurczak,fasola,kukurydza,cebula,,,,
kolorowa,pomidorowy,brokuł,kukurydza,szpinak,pomidor,cebula,,,
wiejska,pomidorowy,boczek,kiełbasa,ogórek,cebula,,,,
świdnicka,pomidorowy,boczek,kurczak,cebula prażona,ser wędzony,,,,
sweet chilli,pomidorowy,boczek,chili,papryka,ananas,sos sweet chhili,,,
kreweta,pomidorowy,krewetki,czosnek,rukola,,,,,
krążownik,bbq,kurczak,boczek,ogórek,krążki cebulowe,,,,
rambo,pomidorowy,salami,szynka,cebula,czosnek,,,,
cukenberg,pomidorowy,salami,cukinia,czosnek,camembert,,,,
petarda,pomidorowy,salami,oliwki,czosnek,habanero,,,,
prop1,pomidorowy,kurczak,kukurydza,papryka,brokuł,,,,
prop2,pomidorowy,salami,jalapeno,oliwki,,,,,
prop3,pomidorowy,salami,pieczarki,feta,,,,,
prop4,pomidorowy,salami,pieczarki,pomidor suszony,,,,,
prop5,pomidorowy,szynka,jalapeno,ananas,,,,,
prop6,pomidorowy,salami,boczek,szynka,cebula,,,,
prop7,pomidorowy,gruszka,słonecznik,rukola,,,,,
prop8,pomidorowy,szynka parmeńska,rukola,parmezan,,,,,
prop9,pomidorowy,salami,ananas,,,,,,
prop10,pomidorowy,ser wędzony,boczek,słonecznik,żurawina,,,,
prop11,pomidorowy,ser wędzony,boczek,słonecznik,,,,,
prop12,pomidorowy,oscypek,boczek,słonecznik,żurawina,,,,
prop13,pomidorowy,oscypek,boczek,słonecznik,,,,,
prop14,pomidorowy,szynka,pieczarki,cebula,oliwki,,,,
prop15,pomidorowy,salami,pieczarki,jakapeno,krążki cebulowe,,,,
prop16,pomidorowy,salami,pieczarki,szparagi,rukola,pomidor suszony,,,
prop17,pomidorowy,salami,oliwki,,,,,,
prop18,pomidorowy,salami,feta,dynia,pomidor suszony,,,,
prop19,pomidorowy,pieczarki,szpinak,oliwki,pomidor suszony,,,,
prop20,pomidorowy,cebula,tuńczyk,kukurydza,oliwki,,,,
prop21,pomidorowy,salami,lazur,camembert,feta,,,,
prop22,pomidorowy,szparagi,brokuł,szynka parmeńska,,,,,
prop23,pomidorowy,fasola,kukurydza,kiełbasa chorizo,jalapeno,,,,
prop24,pomidorowy,fasola,kukurydza,kiełbasa chorizo,pomidor,,,,
prop25,pomidorowy,dynia,feta,kurczak,,,,,
prop26,pomidorowy,farsz ruski,boczek w kostce,cebulka duszona,,,,,
prop27,pomidorowy,boczek,camembert,dynia,,,,,
prop28,pomidorowy,pieczone ziemniaczki,kiełbasa,boczek w kostce,,,,,
prop29,pomidorowy,camembert,laruz,feta,,,,,
